,id,mu,sigma
112,Novus Aevi,27.341072272087143,0.9022147598961072
343,T E A,27.241739016885578,2.2588321702108334
306,Team India,27.224885477542887,1.2125914131577054
190,Uchiha,27.20977661903308,1.1748597186629164
18,Team Envy,27.162936319166572,0.8126230896003821
137,Out of Retirement,27.159228242275315,1.0770643335322412
121,Aloha,26.9678393546157,0.9377026213452849
256,Complexity Gaming,26.939648735644422,0.8645492068556192
261,KokeKoke Kickers,26.883288885879242,1.4534103083449414
403,Papo de Visão,26.8356327687076,1.1857459303486997
305,orgless,26.794397505418488,1.242497117023932
105,The Three Sins,26.780492958451838,1.4999159143151382
176,Vegas Inferno,26.718302500609305,0.8717035797757224
360,True Parrots,26.712145763755533,1.1236495271927012
409,Atypical,26.666980094303693,1.0539678827377217
106,Elevate,26.63589747188207,0.8927478375188057
108,Dream Conspiracy,26.63493779799053,0.8478805443065678
371,T2K,26.589971183100378,1.7013940518474215
321,Birds,26.469888060283083,1.7530320972307178
47,DN Enterprises,26.453695450055445,3.6988801897969568
93,SMPR Esports,26.44417963507742,0.8111206372245169
404,Ruby,26.427437674081823,1.0675751689429724
