,id,blue,orange,match
29,61614e78143c37878b2387cd,1,0,6159ad3d143c37878b2384b3
30,61615254143c37878b2388b4,1,2,6159ad3d143c37878b2384b4
31,61615259f8090ec74528715a,0,1,6159ad3d143c37878b2384b4
32,6161525df8090ec745287161,1,0,6159ad3d143c37878b2384b4
33,61615262143c37878b2388bb,1,0,6159ad3d143c37878b2384b4
34,61615266143c37878b2388c2,0,3,6159ad3d143c37878b2384b4
35,61600525f8090ec745286e9c,1,2,6159ad3d143c37878b2384b5
36,61600528143c37878b2386a5,3,1,6159ad3d143c37878b2384b5
37,6160052c143c37878b2386ac,0,2,6159ad3d143c37878b2384b5
38,61600530f8090ec745286ea3,3,1,6159ad3d143c37878b2384b5
39,61600533f8090ec745286eaa,2,3,6159ad3d143c37878b2384b5
40,61614fff143c37878b238828,2,3,6159ad3d143c37878b2384b7
41,61615004143c37878b23882f,1,2,6159ad3d143c37878b2384b7
42,61615008f8090ec7452870d4,3,2,6159ad3d143c37878b2384b7
43,6161500cf8090ec7452870db,3,2,6159ad3d143c37878b2384b7
44,61615010143c37878b238836,2,3,6159ad3d143c37878b2384b7
45,616150d4f8090ec74528711a,3,1,6159ad3d143c37878b2384b8
46,616150d8143c37878b23886e,2,4,6159ad3d143c37878b2384b8
47,616150de143c37878b238875,4,0,6159ad3d143c37878b2384b8
48,616150e2f8090ec745287121,7,0,6159ad3d143c37878b2384b8
49,616005f7143c37878b2386e4,2,4,6159ad3d143c37878b2384b9
50,616005fbf8090ec745286ecd,1,3,6159ad3d143c37878b2384b9
51,616005fff8090ec745286ed4,2,5,6159ad3d143c37878b2384b9
52,61615146143c37878b23887c,4,2,6159ad3d143c37878b2384bb
53,6161515d143c37878b23888a,3,1,6159ad3d143c37878b2384bb
54,6161514ef8090ec745287137,1,2,6159ad3d143c37878b2384bb
55,61615153143c37878b238883,1,6,6159ad3d143c37878b2384bb
56,61615163143c37878b238891,1,2,6159ad3d143c37878b2384bb
57,616151cbf8090ec745287153,6,2,6159ad3d143c37878b2384bc
58,616151cf143c37878b23889f,1,2,6159ad3d143c37878b2384bc
59,616151d4143c37878b2388a6,2,1,6159ad3d143c37878b2384bc
60,616151d9143c37878b2388ad,7,0,6159ad3d143c37878b2384bc
61,61615030143c37878b23883d,4,3,6159ad3d143c37878b2384bd
62,61615034f8090ec7452870e2,4,0,6159ad3d143c37878b2384bd
63,61615038f8090ec7452870e9,0,1,6159ad3d143c37878b2384bd
64,6161503d143c37878b238844,2,1,6159ad3d143c37878b2384bd
65,61614f50143c37878b2387f7,1,0,6159ad3d143c37878b2384be
66,61614f59143c37878b2387fe,6,1,6159ad3d143c37878b2384be
67,61614f5ef8090ec745287095,1,2,6159ad3d143c37878b2384be
68,61614f62f8090ec74528709c,2,1,6159ad3d143c37878b2384be
69,6160054d143c37878b2386b3,0,2,6159ad3d143c37878b2384bf
70,61600551f8090ec745286eb1,2,1,6159ad3d143c37878b2384bf
71,61600555f8090ec745286eb8,2,1,6159ad3d143c37878b2384bf
72,61600559143c37878b2386ba,2,3,6159ad3d143c37878b2384bf
73,6160055e143c37878b2386c1,0,1,6159ad3d143c37878b2384bf
74,61600a3f143c37878b2386eb,5,4,6159ad3d143c37878b2384c1
75,61600bd7f8090ec745286edb,4,3,6159ad3d143c37878b2384c1
76,61600d79143c37878b2386f2,4,1,6159ad3d143c37878b2384c1
77,61614eb3143c37878b2387d4,2,1,6159ad3d143c37878b2384c2
78,61614eb8143c37878b2387db,2,0,6159ad3d143c37878b2384c2
79,61614f7b143c37878b238805,1,2,6159ad3d143c37878b2384c3
80,61614f7ff8090ec7452870a3,2,3,6159ad3d143c37878b2384c3
81,61614f83f8090ec7452870aa,1,2,6159ad3d143c37878b2384c3
82,61615053143c37878b23884b,4,2,6159ad3d143c37878b2384c4
83,61615057f8090ec7452870f0,2,3,6159ad3d143c37878b2384c4
84,6161505bf8090ec7452870f7,3,0,6159ad3d143c37878b2384c4
85,6161505e143c37878b238852,4,2,6159ad3d143c37878b2384c4
86,616150fdf8090ec745287128,4,2,6159ad3d143c37878b2384c5
87,6161510bf8090ec74528712f,1,2,6159ad3d143c37878b2384c5
88,61615187143c37878b238898,1,3,6159ad3d143c37878b2384c6
89,6161518cf8090ec74528713e,3,4,6159ad3d143c37878b2384c6
90,61615191f8090ec745287145,3,2,6159ad3d143c37878b2384c6
91,61615196f8090ec74528714c,0,3,6159ad3d143c37878b2384c6
92,61615072143c37878b238859,2,1,6159ad3d143c37878b2384c7
93,61615076f8090ec7452870fe,2,0,6159ad3d143c37878b2384c7
94,6161507bf8090ec745287105,1,0,6159ad3d143c37878b2384c7
95,61614f94f8090ec7452870b1,1,2,6159ad3d143c37878b2384c8
96,61614f98143c37878b23880c,3,1,6159ad3d143c37878b2384c8
