,id,start,blue_score,orange_score,blue_id,orange_id,blue_name,orange_name,event
91,6159ad6b143c37878b2384e3,2021-10-10T08:15:00Z,2.0,3.0,615c068f143c37878b238569,614c8930f8090ec745286474,The Grogans,Ranga Roundup,614b7046f8090ec74528642d
92,6159ad6b143c37878b2384e4,2021-10-10T08:15:00Z,3.0,,6091ad1bd50a7d046663343d,6020c3a2f1e4807cc70312c5,Team Eros,Wazooo,614b7046f8090ec74528642d
93,6159ad6b143c37878b2384e5,2021-10-10T08:15:00Z,2.0,3.0,615580e2f8090ec745286b17,6156d4db143c37878b238367,joE,Trident Esports,614b7046f8090ec74528642d
94,6159ad6b143c37878b2384e6,2021-10-10T08:15:00Z,1.0,3.0,60c1e2879fc1a47e5f1116c8,616174e2143c37878b2388c9,Panik Gaming,Rust-eze,614b7046f8090ec74528642d
95,6159ad6b143c37878b2384e7,2021-10-10T08:15:00Z,3.0,1.0,6129f47987f814e9fb00020c,615c06c0143c37878b23856a,Tisi,Bros On Their Toes,614b7046f8090ec74528642d
96,6159ad6b143c37878b2384e8,2021-10-10T09:00:00Z,3.0,1.0,615c068f143c37878b238569,6156d4db143c37878b238367,The Grogans,Trident Esports,614b7046f8090ec74528642d
97,6159ad6b143c37878b2384e9,2021-10-10T09:00:00Z,3.0,1.0,6020c717f1e4807cc70490d6,6129f47987f814e9fb00020c,1620 Kings,Tisi,614b7046f8090ec74528642d
98,6159ad6b143c37878b2384ea,2021-10-10T09:00:00Z,2.0,3.0,6020c3a2f1e4807cc70312c5,616174e2143c37878b2388c9,Wazooo,Rust-eze,614b7046f8090ec74528642d
99,6159ae3d143c37878b238503,2021-10-10T09:00:00Z,3.0,,6020c2bdf1e4807cc702aed8,60be06919fc1a47e5f111397,Three Rats,DeluxeDream,614b7564f8090ec745286437
100,6159ae3d143c37878b238504,2021-10-10T09:00:00Z,3.0,,616063ef143c37878b2387ae,616063fb143c37878b2387af,ScubaDrivers,Asia manji,614b7564f8090ec745286437
101,6159ae3d143c37878b238505,2021-10-10T09:00:00Z,3.0,,60705bee3960ddb316ab76d6,61606402143c37878b2387b0,Pineapple Cake,Team NazguL,614b7564f8090ec745286437
102,6159ae3d143c37878b238506,2021-10-10T09:00:00Z,,3.0,6160640d143c37878b2387b1,6160641d143c37878b2387b2,TripleJawa,Shoguns,614b7564f8090ec745286437
103,6159ae3d143c37878b238507,2021-10-10T09:00:00Z,3.0,,6020bc71f1e4807cc7002514,61606426143c37878b2387b3,1NE eSports,Hiraeth,614b7564f8090ec745286437
104,6159ae3d143c37878b238508,2021-10-10T09:00:00Z,3.0,2.0,6160642e143c37878b2387b4,615dbd94143c37878b2385b8,Team Atelier,DN Enterprises,614b7564f8090ec745286437
105,6159ae3d143c37878b238509,2021-10-10T09:00:00Z,3.0,,6160644d143c37878b2387b5,6160645b143c37878b2387b6,Halal Men,Flu Esports,614b7564f8090ec745286437
106,6159ae3d143c37878b23850a,2021-10-10T09:00:00Z,3.0,,61508f0af8090ec745286778,61606469143c37878b2387b7,Azure Esports,ZNTRA,614b7564f8090ec745286437
107,6159ae3d143c37878b23850b,2021-10-10T09:00:00Z,,3.0,6161a3a4143c37878b238950,60c85c7167835678df01547f,BALL,Exodus,614b7564f8090ec745286437
108,6159ae3d143c37878b23850c,2021-10-10T09:00:00Z,1.0,3.0,6161a3bc143c37878b238951,6161a3c3143c37878b238952,Elusive X,Royal Taxi,614b7564f8090ec745286437
109,6159ae3d143c37878b23850d,2021-10-10T09:00:00Z,,3.0,60be06da490bd8649dd30736,6161a3d9143c37878b238953,RFLM,Power of Yogurt,614b7564f8090ec745286437
110,6159ae3d143c37878b23850e,2021-10-10T09:00:00Z,,3.0,60c5e0b2490bd8649dd311ee,6161a40a143c37878b238954,Trakin,Wheel Breakers,614b7564f8090ec745286437
111,6159ae3d143c37878b23850f,2021-10-10T09:00:00Z,,3.0,60be16d69fc1a47e5f111475,60c85c6967835678df01547e,MONARCH,acrimony,614b7564f8090ec745286437
112,6159ae3d143c37878b238510,2021-10-10T09:00:00Z,3.0,,6161a42a143c37878b238955,6161a437143c37878b238956,Sink n Blink,Axios,614b7564f8090ec745286437
113,6159ae3d143c37878b238511,2021-10-10T09:00:00Z,3.0,,6161a442143c37878b238957,6161a44c143c37878b238958,Disparity/Asian Warlords,Veloces,614b7564f8090ec745286437
114,6159ae3d143c37878b238512,2021-10-10T09:00:00Z,,3.0,6161a457143c37878b238959,6161a460143c37878b23895a,J4F,Dothraki,614b7564f8090ec745286437
115,6159ae3d143c37878b238513,2021-10-10T09:45:00Z,3.0,,61606469143c37878b2387b7,60c85c7167835678df01547f,ZNTRA,Exodus,614b7564f8090ec745286437
116,6159ae3d143c37878b238514,2021-10-10T09:45:00Z,3.0,2.0,6160645b143c37878b2387b6,6161a3c3143c37878b238952,Flu Esports,Royal Taxi,614b7564f8090ec745286437
117,6159ae3d143c37878b238515,2021-10-10T09:45:00Z,3.0,,615dbd94143c37878b2385b8,6161a3d9143c37878b238953,DN Enterprises,Power of Yogurt,614b7564f8090ec745286437
118,6159ae3d143c37878b238516,2021-10-10T09:45:00Z,3.0,,61606426143c37878b2387b3,6161a40a143c37878b238954,Hiraeth,Wheel Breakers,614b7564f8090ec745286437
119,6159ae3d143c37878b238517,2021-10-10T09:45:00Z,3.0,,6160640d143c37878b2387b1,60c85c6967835678df01547e,TripleJawa,acrimony,614b7564f8090ec745286437
120,6159ae3d143c37878b238518,2021-10-10T09:45:00Z,3.0,,61606402143c37878b2387b0,6161a42a143c37878b238955,Team NazguL,Sink n Blink,614b7564f8090ec745286437
121,6159ae3d143c37878b238519,2021-10-10T09:45:00Z,3.0,,616063fb143c37878b2387af,6161a442143c37878b238957,Asia manji,Disparity/Asian Warlords,614b7564f8090ec745286437
122,6159ae3d143c37878b23851a,2021-10-10T09:45:00Z,3.0,1.0,60be06919fc1a47e5f111397,6161a460143c37878b23895a,DeluxeDream,Dothraki,614b7564f8090ec745286437
123,6159add8143c37878b2384eb,2021-10-10T15:00:00Z,3.0,,6020bfd8f1e4807cc701ad54,6161c11c143c37878b238960,Sandrock Gaming,TM group,614b72c1f8090ec745286431
