,id,name,region
201,616da4abf8090ec745288674,WWM,ASIA
202,61e54b98c437fde7e02cc946,WYC,ASIA
203,61895383f8090ec74528ba22,Washed,ASIA
204,618953aaf8090ec74528ba26,We Own All,ASIA
205,6161a40a143c37878b238954,Wheel Breakers,ASIA
206,6189539ff8090ec74528ba25,Whiff Collective,ASIA
207,617949e0f8090ec74528947b,Wide Awake,ASIA
208,61800767143c37878b23bc02,Wizard Lizard,ASIA
209,6020c077f1e4807cc701d711,Xayfhers,ASIA
210,621c9a8ada9d7ca1c7ba93ef,Yakiniku,ASIA
211,621c9a81da9d7ca1c7ba93ee,Yamaneko,ASIA
212,61e54b8bc437fde7e02cc944,ZBURA,ASIA
213,61606469143c37878b2387b7,ZNTRA,ASIA
214,60c85c6967835678df01547e,acrimony,ASIA
215,616da488f8090ec745288673,benizakura,ASIA
216,6194fdbe143c37878b23e135,dogma,ASIA
217,616da4e1143c37878b239d46,falseREAL,ASIA
218,61daf07ada9d7ca1c7ba3d57,orgless,ASIA
219,61daf088da9d7ca1c7ba3d59,randoms,ASIA
220,61f90a95da9d7ca1c7ba73c1,spider,ASIA
221,613b735bf8090ec7452851a8,00 Nation,EU
222,6074990c8c85ced5f379e9e0,BS+COMPETITION,EU
223,6020bc70f1e4807cc70023e9,Dignitas,EU
224,616d9760143c37878b239c52,ERN ROAR,EU
225,6020bc70f1e4807cc70023d9,Endpoint,EU
226,6020bc9bf1e4807cc70041b4,Evil Geniuses,EU
227,6020bc9ef1e4807cc70043ba,FC Barcelona,EU
228,6020be81f1e4807cc701475b,Fadeaway,EU
229,615f4545143c37878b23868d,Ferg & Co,EU
230,61923af8f8090ec74528c16b,Germark,EU
231,614ef73ef8090ec7452865af,GigaGuys,EU
232,6020c1e4f1e4807cc702622a,Guild Esports,EU
233,6192a2dd143c37878b23d64f,Heroic,EU
234,60c30e3d490bd8649dd30c96,IziDream,EU
235,60fbc5b887f814e9fbffdcbd,Karmine Corp,EU
236,612c90639d3c410761e8aa0d,Kuxir's Minions,EU
237,61348f9d87f814e9fb000a70,Lille Esport,EU
238,6020bd13f1e4807cc7008e80,London Esports,EU
239,61e693f7c437fde7e02cce7d,Luminosity Gaming,EU
240,61718fe6f8090ec7452888ba,Misfits Gaming,EU
241,6020be9af1e4807cc70151ce,Monkeys,EU
242,61702260143c37878b239f48,Natus Vincere,EU
243,61c5efbec437fde7e02cb4ef,Pepepitos Canyons,EU
244,6020c1d2f1e4807cc7025e1c,Rix.GG,EU
245,6020bd05f1e4807cc7008596,SK Gaming,EU
246,60fe680d87f814e9fbffe57a,SMPR Esports,EU
247,6020bd49f1e4807cc700b1cc,Savage!,EU
248,6020bd98f1e4807cc700dc86,Solary,EU
249,6020bd99f1e4807cc700dc8d,Stormtroopers,EU
250,61e540fcc437fde7e02cc762,T E A,EU
251,6020bd98f1e4807cc700dc74,Team BDS,EU
252,6020c1eff1e4807cc70264ca,Team Liquid,EU
253,6020c2b7f1e4807cc702ac15,Team Queso,EU
254,6020bd4af1e4807cc700b262,Team Singularity,EU
255,6020c370f1e4807cc702fc9c,Team Vitality,EU
256,610850329d3c410761e896d0,The Flying Dutchmen,EU
257,6020bc9ef1e4807cc7004365,Triple Trouble,EU
258,6020bc70f1e4807cc70023a4,Vodafone Giants,EU
259,604dc58a872b4203ad33bd76,WYLDE,EU
260,61547921f8090ec745286ac9,Williams Resolve,EU
261,60fa77cc87f814e9fbffdbab,mamt,EU
262,6020c2a3f1e4807cc702a568,pikete galáctico,EU
263,61502e55143c37878b237d93,yeezys,EU
264,6020bfd8f1e4807cc701ad54,Sandrock Gaming,INT
265,61795188143c37878b23ae92,1ST,ME
266,6020c090f1e4807cc701dfde,25ESPORTS,ME
267,60f48a2a9d3c410761e87f7e,ANKAA,ME
268,61ed2732da9d7ca1c7ba5b2b,AWW YEAH,ME
269,61795172f8090ec7452895b6,Ana Madre wallah,ME
270,6161c1c3143c37878b238969,Argent / 3z / dl fi / Dorv,ME
271,61e176bec437fde7e02cc006,Birds,ME
272,61896720143c37878b23d0a0,Black List,ME
273,61d16980c437fde7e02cb5b5,Cringe,ME
274,61d97057c437fde7e02cb749,FOR THE WIN,ME
275,6020bc87f1e4807cc7003445,Forest Hunters,ME
276,61e18e7dda9d7ca1c7ba4645,Fox Gaming,ME
277,60b88a80b2b828b268c73c6a,Frenzy eSports,ME
